"ID","group","day","cytokine","sex","value","LOD","fold_change_baseline","NHP","virus","perc_nk_cells","nb_nk_cells"
"NV259","Control",7,"IP.10","F",4.38,4.38,1,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"VEGF","F",1.35,1.35,NA,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IL.6","F",7.71,7.71,NA,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"MCP.1","F",304.84,20.12,0.546494326024991,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"MIP.1a","F",161.95,28.54,5.67449194113525,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"TNF.alpha","F",14.2,14.2,1,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IL.2","F",43.77,43.77,1,"Cyno","Dengue virus",3.9,1186
"NV259","Control",7,"IL.5","F",6.45,6.45,NA,"Cyno","Dengue virus",3.9,1186
"NV289","Control",-7,"EGF","M",74.83,3.41,1,"Cyno","Dengue virus",NA,NA
"NV289","Control",-7,"MDC","M",1062.19,286.83,1,"Cyno","Dengue virus",NA,NA
"NV289","Control",-7,"Eotaxin","M",238.07,2.64,1,"Cyno","Dengue virus",NA,NA
"NV289","Control",-7,"IL.10","M",13.57,13.57,NA,"Cyno","Dengue virus",NA,NA
